time_updated,long,placename,placenameformap,state,levelofgovernmentlocalstatenational,typeofaction,linktosourcenewspressreleaseetc.,datesineffect
2020-03-26T03:29:29.113Z,-119.821944,Nevada - Reno,Reno,NV,Local,Eviction Moratorium,https://www.washoecounty.us/rjc/files/news/Amended_Administrative_Order_3192020.pdf,Thru April 20
2020-03-26T03:29:29.113Z,,New Hampshire,New Hampshire,NH,State,Eviction Moratorium,https://www.governor.nh.gov/news-media/press-2020/documents/emergency-order-4.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,,New Jersey,New Jersey,NJ,State,Eviction Moratorium,https://www.nj.com/coronavirus/2020/03/murphy-orders-evictions-foreclosures-to-stop-in-nj-during-coronavirus-outbreak.html,Duration of state of emergency
2020-03-26T03:29:29.113Z,,New Jersey,New Jersey,NJ,State,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shut-offs
2020-03-26T03:29:29.113Z,-75.105,New Jersey - Camden County,Camden County,NJ,Local,Eviction Moratorium,https://www.camdencounty.com/freeholder-board-declares-state-of-emergency-in-camden-county/,Sheriff's office suspending evictions until further notice
2020-03-26T03:29:29.113Z,-74.1723667,New Jersey - Essex County (Newark),Essex County,NJ,Local,Eviction Moratorium,https://www.nj.com/coronavirus/2020/03/newark-suspending-evictions-as-first-cases-of-covid-19-are-diagnosed-in-states-largest-city.html,Sheriff's office suspending evictions until further notice
2020-03-26T03:29:29.113Z,-105.964444,New Mexico - Santa Fe,Santa Fe,NM,Local,Eviction Moratorium,https://www.sfreporter.com/news/2020/03/18/santa-fe-mayor-announces-eviction-freeze/,
2020-03-26T03:29:29.113Z,-105.964444,New Mexico - Santa Fe,Santa Fe,NM,Local,Moratorium on Utility Shutoffs,https://www.sfreporter.com/news/2020/03/18/santa-fe-mayor-announces-eviction-freeze/,No water shut-offs
2020-03-26T03:29:29.113Z,,New York,New York,NY,State,Eviction Moratorium,https://queenseagle.com/all/state-halts-evictions-trials-continue-coronavirus-courts,No hearings until further notice
2020-03-26T03:29:29.113Z,,New York,New York,NY,State,Moratorium on Utility Shutoffs,https://www.foodandwaterwatch.org/news/stopping-water-shutoffs-locally-not-enough-we-need-national-ban-and-service-restoration-plan,No water shut-offs
